code,Field title
25131,Mean MD in posterior corona radiata on FA skeleton (left)
25130,Mean MD in posterior corona radiata on FA skeleton (right)
25123,Mean MD in posterior limb of internal capsule on FA skeleton (left)
25122,Mean MD in posterior limb of internal capsule on FA skeleton (right)
25133,Mean MD in posterior thalamic radiation on FA skeleton (left)
25132,Mean MD in posterior thalamic radiation on FA skeleton (right)
25125,Mean MD in retrolenticular part of internal capsule on FA skeleton (left)
25124,Mean MD in retrolenticular part of internal capsule on FA skeleton (right)
25135,Mean MD in sagittal stratum on FA skeleton (left)
25134,Mean MD in sagittal stratum on FA skeleton (right)
25108,Mean MD in splenium of corpus callosum on FA skeleton
25117,Mean MD in superior cerebellar peduncle on FA skeleton (left)
25116,Mean MD in superior cerebellar peduncle on FA skeleton (right)
25129,Mean MD in superior corona radiata on FA skeleton (left)
25128,Mean MD in superior corona radiata on FA skeleton (right)
25147,Mean MD in superior fronto-occipital fasciculus on FA skeleton (left)
25146,Mean MD in superior fronto-occipital fasciculus on FA skeleton (right)
25145,Mean MD in superior longitudinal fasciculus on FA skeleton (left)
25144,Mean MD in superior longitudinal fasciculus on FA skeleton (right)
25151,Mean MD in tapetum on FA skeleton (left)
25150,Mean MD in tapetum on FA skeleton (right)
25149,Mean MD in uncinate fasciculus on FA skeleton (left)
25148,Mean MD in uncinate fasciculus on FA skeleton (right)
25175,Mean MO in anterior corona radiata on FA skeleton (left)
25174,Mean MO in anterior corona radiata on FA skeleton (right)
25169,Mean MO in anterior limb of internal capsule on FA skeleton (left)
25168,Mean MO in anterior limb of internal capsule on FA skeleton (right)
25155,Mean MO in body of corpus callosum on FA skeleton
25167,Mean MO in cerebral peduncle on FA skeleton (left)
25166,Mean MO in cerebral peduncle on FA skeleton (right)
25187,Mean MO in cingulum cingulate gyrus on FA skeleton (left)
25186,Mean MO in cingulum cingulate gyrus on FA skeleton (right)
25189,Mean MO in cingulum hippocampus on FA skeleton (left)
25188,Mean MO in cingulum hippocampus on FA skeleton (right)
25159,Mean MO in corticospinal tract on FA skeleton (left)
25158,Mean MO in corticospinal tract on FA skeleton (right)
25185,Mean MO in external capsule on FA skeleton (left)
25184,Mean MO in external capsule on FA skeleton (right)
25191,Mean MO in fornix cres+stria terminalis on FA skeleton (left)
25190,Mean MO in fornix cres+stria terminalis on FA skeleton (right)
25157,Mean MO in fornix on FA skeleton
25154,Mean MO in genu of corpus callosum on FA skeleton
25163,Mean MO in inferior cerebellar peduncle on FA skeleton (left)
25162,Mean MO in inferior cerebellar peduncle on FA skeleton (right)
25161,Mean MO in medial lemniscus on FA skeleton (left)
25160,Mean MO in medial lemniscus on FA skeleton (right)
25152,Mean MO in middle cerebellar peduncle on FA skeleton
25153,Mean MO in pontine crossing tract on FA skeleton
25179,Mean MO in posterior corona radiata on FA skeleton (left)
25178,Mean MO in posterior corona radiata on FA skeleton (right)
25171,Mean MO in posterior limb of internal capsule on FA skeleton (left)
25170,Mean MO in posterior limb of internal capsule on FA skeleton (right)
25181,Mean MO in posterior thalamic radiation on FA skeleton (left)
25180,Mean MO in posterior thalamic radiation on FA skeleton (right)
25173,Mean MO in retrolenticular part of internal capsule on FA skeleton (left)
25172,Mean MO in retrolenticular part of internal capsule on FA skeleton (right)
25183,Mean MO in sagittal stratum on FA skeleton (left)
25182,Mean MO in sagittal stratum on FA skeleton (right)
25156,Mean MO in splenium of corpus callosum on FA skeleton
